203.170.168.17,80,HTTPS
203.170.168.17,443,HTTPS
188.217.142.217,8118,HTTPS
117.211.100.22,3128,HTTPS
163.172.95.183,8080,HTTPS
110.78.208.19,8080,HTTPS
186.103.175.158,3128,HTTPS
47.74.15.236,3128,HTTPS
111.223.75.178,8090,HTTPS
34.94.147.20,3128,HTTPS
2.37.239.40,8118,HTTPS
150.109.62.146,1081,HTTPS
102.177.193.220,3128,HTTPS
200.195.28.21,3128,HTTPS
84.201.147.212,3128,HTTPS
85.93.104.114,8080,HTTPS
89.36.219.208,3128,HTTPS
185.132.179.114,8080,HTTPS
5.189.163.40,3128,HTTPS
192.166.219.46,3128,"HTTP, HTTPS"
47.89.37.177,3128,HTTPS
206.81.30.6,3128,HTTPS
188.217.43.28,8118,HTTPS
198.11.178.14,8080,HTTPS
62.141.35.197,3128,"HTTP, HTTPS"
51.38.71.101,8080,HTTPS
188.227.19.127,999,HTTPS
178.170.117.29,3128,HTTPS
203.154.83.203,8080,HTTPS
31.220.51.173,8080,HTTPS
185.80.130.17,8080,HTTPS
51.75.127.238,3128,"HTTP, HTTPS"
62.173.145.48,3128,HTTPS
185.80.130.17,80,HTTPS
93.190.137.26,1080,HTTPS
195.122.185.95,3128,HTTPS
62.173.145.48,3128,"HTTP, HTTPS"
79.137.73.163,8080,"HTTP, HTTPS"
84.201.254.47,3128,HTTPS
81.171.2.229,3128,HTTPS
163.172.148.169,3128,"HTTP, HTTPS"
117.247.254.70,3128,HTTPS
176.123.61.238,3128,HTTPS
134.19.218.94,3129,"HTTP, HTTPS"
89.238.190.164,3128,"HTTP, HTTPS"
163.172.182.164,3128,HTTPS
89.246.66.124,3128,HTTPS
103.35.64.12,3128,HTTPS
163.172.168.124,3128,HTTPS
188.216.116.98,8118,HTTPS
156.54.212.171,3128,"HTTP, HTTPS"
2.39.5.142,8118,HTTPS
95.211.89.6,8118,HTTPS
95.47.183.23,3128,HTTPS
2.36.241.131,8118,HTTPS
2.37.152.140,8118,HTTPS
188.152.142.226,8118,HTTPS
2.39.115.161,8118,HTTPS
2.38.4.248,8118,HTTPS
2.39.235.28,8118,HTTPS
2.38.98.55,8118,HTTPS
2.38.122.145,8118,HTTPS
2.38.37.88,8118,HTTPS
2.38.30.102,8118,HTTPS
2.38.4.254,8118,HTTPS
188.216.87.164,8118,HTTPS
2.38.30.35,8118,HTTPS
2.39.126.218,8118,HTTPS
188.217.76.17,8118,HTTPS
2.38.34.73,8118,HTTPS
2.37.240.206,8118,HTTPS
188.152.174.5,8118,HTTPS
51.68.207.81,80,HTTPS
202.139.192.55,8080,HTTPS
188.217.160.73,8118,HTTPS
2.39.229.64,8118,HTTPS
2.39.150.215,8118,HTTPS
91.208.39.70,8080,HTTPS
2.38.178.50,8118,HTTPS
188.217.217.38,8118,HTTPS
2.38.135.103,8118,HTTPS
2.39.238.23,8118,HTTPS
2.37.46.179,8118,HTTPS
2.38.131.5,8118,HTTPS
2.37.246.11,8118,HTTPS
68.183.209.107,3128,HTTPS
35.245.145.147,8000,HTTPS
35.245.208.185,3128,HTTPS
188.217.175.148,8118,HTTPS
2.37.158.59,8118,HTTPS
188.217.146.205,8118,HTTPS
2.38.133.92,8118,HTTPS
2.38.146.53,8118,HTTPS
2.38.147.252,8118,HTTPS
188.217.172.172,8118,HTTPS
188.217.215.60,8118,HTTPS
188.217.208.231,8118,HTTPS
95.168.185.183,8080,"HTTP, HTTPS"
35.245.145.147,80,"HTTP, HTTPS"
156.96.147.224,3128,"HTTP, HTTPS"
172.106.106.100,3128,"HTTP, HTTPS"
35.192.170.115,3128,"HTTP, HTTPS"
51.68.172.7,3128,"HTTP, HTTPS"
79.123.136.96,3128,HTTPS
35.154.11.150,3128,"HTTP, HTTPS"
23.23.179.254,3128,HTTPS
5.189.177.152,3129,HTTPS
31.220.51.173,80,HTTPS
173.192.21.89,8123,HTTPS
173.192.21.89,80,HTTPS
173.192.21.89,25,HTTPS
5.189.163.40,3128,"HTTP, HTTPS"
23.237.22.172,3128,HTTPS
222.231.59.130,443,HTTPS
118.174.211.220,1112,"HTTP, HTTPS"
118.174.211.219,1112,"HTTP, HTTPS"
35.237.236.0,80,HTTPS
119.161.98.131,3128,HTTPS
34.94.147.20,3128,HTTPS
70.102.86.204,8080,HTTPS
192.99.191.233,8080,HTTPS
157.230.123.2,3128,HTTPS
5.79.113.168,3128,HTTPS
144.217.229.156,8080,HTTPS
